"employee_id","business_unit","department","job_level","manager_status","work_arrangement","location_region","hire_date","tenure_years","tenure_group"
"EMP0035","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2021-02-10,4.68,"3-5 years"
"EMP0036","Client Operations","Customer Support","Senior Professional","People Manager","On-site","Northeast",2024-08-12,1.17,"1-2 years"
"EMP0037","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-08-07,0.19,"Less than 1 year"
"EMP0038","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2020-08-18,5.16,"3-5 years"
"EMP0039","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","South",2023-08-25,2.14,"1-2 years"
"EMP0040","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2021-02-10,4.68,"3-5 years"
"EMP0041","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2022-01-29,3.71,"3-5 years"
"EMP0042","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2024-02-02,1.7,"1-2 years"
"EMP0043","Client Operations","Customer Support","Professional","Individual Contributor","Remote","West",2023-06-27,2.3,"1-2 years"
"EMP0044","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2023-05-12,2.43,"1-2 years"
"EMP0045","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","Midwest",2021-09-04,4.11,"3-5 years"
"EMP0046","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2021-08-23,4.15,"3-5 years"
"EMP0047","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2022-03-23,3.56,"3-5 years"
"EMP0048","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2023-07-23,2.23,"1-2 years"
"EMP0049","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2021-12-05,3.86,"3-5 years"
"EMP0050","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2025-07-21,0.24,"Less than 1 year"
"EMP0051","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2022-01-21,3.73,"3-5 years"
"EMP0052","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2022-10-29,2.96,"1-2 years"
"EMP0053","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Northeast",2025-08-10,0.18,"Less than 1 year"
"EMP0054","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2020-10-06,5.02,"3-5 years"
"EMP0055","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2017-08-28,8.13,"6-10 years"
"EMP0056","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2021-07-17,4.25,"3-5 years"
"EMP0057","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2020-12-24,4.81,"3-5 years"
"EMP0058","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-12-12,0.84,"Less than 1 year"
"EMP0059","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2025-09-15,0.08,"Less than 1 year"
"EMP0060","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2022-11-15,2.92,"1-2 years"
"EMP0061","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2019-05-07,6.44,"6-10 years"
"EMP0062","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2020-09-05,5.11,"3-5 years"
"EMP0063","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2024-06-07,1.36,"1-2 years"
"EMP0064","Client Operations","Customer Support","Professional","People Manager","On-site","Northeast",2020-01-23,5.73,"3-5 years"
"EMP0065","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2025-08-19,0.16,"Less than 1 year"
"EMP0066","Client Operations","Customer Support","Manager","People Manager","Hybrid","Midwest",2024-09-27,1.05,"1-2 years"
"EMP0067","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2025-08-09,0.18,"Less than 1 year"
"EMP0068","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Northeast",2025-04-29,0.46,"Less than 1 year"
"EMP0069","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-08-21,0.15,"Less than 1 year"
"EMP0070","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Midwest",2024-02-27,1.63,"1-2 years"
"EMP0071","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-04-22,0.48,"Less than 1 year"
"EMP0072","Client Operations","Customer Support","Senior Professional","People Manager","Remote","South",2018-09-11,7.09,"6-10 years"
"EMP0073","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2018-12-18,6.83,"6-10 years"
"EMP0074","Client Operations","Customer Support","Manager","People Manager","Hybrid","Midwest",2019-10-23,5.98,"3-5 years"
"EMP0075","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2024-03-15,1.59,"1-2 years"
"EMP0076","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2020-08-14,5.17,"3-5 years"
"EMP0077","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2024-02-03,1.7,"1-2 years"
"EMP0078","Client Operations","Customer Support","Professional","Individual Contributor","Remote","Northeast",2015-06-12,10.34,"6-10 years"
"EMP0079","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2023-06-06,2.36,"1-2 years"
"EMP0080","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Midwest",2020-07-27,5.22,"3-5 years"
"EMP0081","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2020-02-17,5.66,"3-5 years"
"EMP0082","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2017-12-07,7.85,"6-10 years"
"EMP0083","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2023-02-15,2.66,"1-2 years"
"EMP0084","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","South",2025-05-07,0.44,"Less than 1 year"
"EMP0085","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2020-11-20,4.9,"3-5 years"
"EMP0086","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2024-09-20,1.07,"1-2 years"
"EMP0087","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","South",2010-04-02,15.54,"11 or more years"
"EMP0088","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-02-05,0.69,"Less than 1 year"
"EMP0089","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Midwest",2024-11-17,0.91,"Less than 1 year"
"EMP0090","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Midwest",2022-03-31,3.54,"3-5 years"
"EMP0091","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","South",2021-08-19,4.16,"3-5 years"
"EMP0092","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2017-08-02,8.2,"6-10 years"
"EMP0093","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2024-09-28,1.05,"1-2 years"
"EMP0094","Client Operations","Customer Support","Manager","People Manager","Hybrid","South",2016-06-09,9.35,"6-10 years"
"EMP0095","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2023-05-30,2.38,"1-2 years"
"EMP0096","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2022-03-13,3.59,"3-5 years"
"EMP0097","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","West",2025-03-02,0.62,"Less than 1 year"
"EMP0098","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2020-04-24,5.48,"3-5 years"
"EMP0099","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2024-06-14,1.34,"1-2 years"
"EMP0100","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2023-10-20,1.99,"1-2 years"
"EMP0101","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2017-09-30,8.04,"6-10 years"
"EMP0102","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","South",2024-06-21,1.32,"1-2 years"
"EMP0103","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2024-08-12,1.17,"1-2 years"
"EMP0104","Client Operations","Customer Support","Professional","Individual Contributor","Remote","South",2010-10-21,14.98,"11 or more years"
"EMP0105","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2024-09-27,1.05,"1-2 years"
"EMP0106","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2024-11-02,0.95,"Less than 1 year"
"EMP0107","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2010-03-28,15.55,"11 or more years"
"EMP0108","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2016-06-09,9.35,"6-10 years"
"EMP0109","Client Operations","Customer Support","Professional","Individual Contributor","Remote","Northeast",2024-09-13,1.09,"1-2 years"
"EMP0110","Client Operations","Customer Support","Director and Above","People Manager","On-site","Northeast",2020-01-23,5.73,"3-5 years"
"EMP0111","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2005-06-08,20.35,"11 or more years"
"EMP0112","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2024-09-30,1.04,"1-2 years"
"EMP0113","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2019-10-29,5.96,"3-5 years"
"EMP0114","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2013-01-18,12.74,"11 or more years"
"EMP0115","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2016-12-16,8.83,"6-10 years"
"EMP0116","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2021-12-24,3.81,"3-5 years"
"EMP0117","Client Operations","Customer Support","Professional","Individual Contributor","Remote","South",2023-04-24,2.48,"1-2 years"
"EMP0118","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","West",2010-02-03,15.7,"11 or more years"
"EMP0119","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2016-04-22,9.48,"6-10 years"
"EMP0120","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2024-04-08,1.52,"1-2 years"
"EMP0121","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2018-09-03,7.12,"6-10 years"
"EMP0122","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Midwest",2022-11-09,2.93,"1-2 years"
"EMP0123","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2024-08-18,1.16,"1-2 years"
"EMP0124","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2020-06-06,5.36,"3-5 years"
"EMP0125","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2023-12-01,1.87,"1-2 years"
"EMP0126","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","Northeast",2005-09-19,20.07,"11 or more years"
"EMP0127","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2020-03-18,5.58,"3-5 years"
"EMP0128","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2020-03-06,5.61,"3-5 years"
"EMP0129","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2021-03-12,4.59,"3-5 years"
"EMP0130","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2014-11-08,10.93,"6-10 years"
"EMP0131","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2015-10-05,10.03,"6-10 years"
"EMP0132","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-08-19,0.16,"Less than 1 year"
"EMP0133","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2019-09-03,6.12,"6-10 years"
"EMP0134","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2017-08-11,8.18,"6-10 years"
"EMP0135","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2023-10-08,2.02,"1-2 years"
"EMP0136","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","Midwest",2014-11-26,10.89,"6-10 years"
"EMP0137","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2025-03-01,0.62,"Less than 1 year"
"EMP0138","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-04-30,0.46,"Less than 1 year"
"EMP0139","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2006-06-22,19.32,"11 or more years"
"EMP0140","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","West",2023-01-17,2.74,"1-2 years"
"EMP0141","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-01-28,1.71,"1-2 years"
"EMP0142","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2024-09-03,1.11,"1-2 years"
"EMP0143","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2020-07-16,5.25,"3-5 years"
"EMP0144","Client Operations","Customer Support","Manager","People Manager","Hybrid","Northeast",2022-05-17,3.41,"3-5 years"
"EMP0145","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2025-04-29,0.46,"Less than 1 year"
"EMP0146","Client Operations","Customer Support","Director and Above","People Manager","Remote","West",2022-08-08,3.19,"3-5 years"
"EMP0147","Client Operations","Customer Support","Manager","People Manager","Hybrid","South",2020-05-24,5.39,"3-5 years"
"EMP0148","Client Operations","Customer Support","Manager","People Manager","Hybrid","Northeast",2020-09-14,5.08,"3-5 years"
"EMP0149","Client Operations","Customer Support","Senior Professional","People Manager","On-site","South",2021-10-07,4.02,"3-5 years"
"EMP0150","Client Operations","Customer Support","Manager","People Manager","Remote","Midwest",2019-04-02,6.54,"6-10 years"
"EMP0151","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-04-12,0.51,"Less than 1 year"
"EMP0152","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2023-12-24,1.81,"1-2 years"
"EMP0153","Client Operations","Customer Support","Professional","People Manager","Hybrid","Northeast",2024-02-25,1.64,"1-2 years"
"EMP0154","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2020-11-14,4.92,"3-5 years"
"EMP0155","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2019-12-02,5.87,"3-5 years"
"EMP0156","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Northeast",2023-01-20,2.74,"1-2 years"
"EMP0157","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2016-05-27,9.39,"6-10 years"
"EMP0158","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2020-06-22,5.31,"3-5 years"
"EMP0159","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-09-16,1.08,"1-2 years"
"EMP0160","Client Operations","Customer Support","Professional","Individual Contributor","Remote","Midwest",2020-06-27,5.3,"3-5 years"
"EMP0161","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2023-08-11,2.18,"1-2 years"
"EMP0162","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2023-09-20,2.07,"1-2 years"
"EMP0163","Client Operations","Customer Support","Professional","Individual Contributor","Remote","South",2017-12-23,7.81,"6-10 years"
"EMP0164","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-01-23,1.73,"1-2 years"
"EMP0165","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2024-10-13,1,"1-2 years"
"EMP0166","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2024-07-18,1.24,"1-2 years"
"EMP0167","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2015-02-18,10.66,"6-10 years"
"EMP0168","Client Operations","Customer Support","Manager","People Manager","On-site","Midwest",2019-12-03,5.87,"3-5 years"
"EMP0169","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2024-07-15,1.25,"1-2 years"
"EMP0170","Client Operations","Customer Support","Senior Professional","People Manager","On-site","South",2022-06-06,3.36,"3-5 years"
"EMP0171","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2018-01-20,7.73,"6-10 years"
"EMP0172","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2022-10-06,3.03,"3-5 years"
"EMP0173","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2024-11-28,0.88,"Less than 1 year"
"EMP0174","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Midwest",2015-11-14,9.92,"6-10 years"
"EMP0175","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2017-02-04,8.69,"6-10 years"
"EMP0176","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2015-07-10,10.27,"6-10 years"
"EMP0177","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2022-10-20,2.99,"1-2 years"
"EMP0178","Client Operations","Customer Support","Director and Above","People Manager","On-site","South",2023-09-24,2.06,"1-2 years"
"EMP0179","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2025-06-14,0.34,"Less than 1 year"
"EMP0180","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","West",2017-09-16,8.08,"6-10 years"
"EMP0181","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","South",2025-05-06,0.44,"Less than 1 year"
"EMP0182","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2023-07-10,2.27,"1-2 years"
"EMP0183","Client Operations","Customer Support","Professional","Individual Contributor","Remote","West",2017-11-16,7.91,"6-10 years"
"EMP0184","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Midwest",2020-03-21,5.57,"3-5 years"
"EMP0185","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2018-07-02,7.29,"6-10 years"
"EMP0186","Client Operations","Customer Support","Professional","People Manager","On-site","West",2022-11-13,2.92,"1-2 years"
"EMP0187","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2021-10-17,3.99,"3-5 years"
"EMP0188","Client Operations","Customer Support","Director and Above","People Manager","Remote","South",2014-11-23,10.89,"6-10 years"
"EMP0189","Client Operations","Customer Support","Manager","People Manager","Hybrid","Midwest",2012-04-03,13.53,"11 or more years"
"EMP0190","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2012-03-02,13.62,"11 or more years"
"EMP0191","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Northeast",2020-04-01,5.54,"3-5 years"
"EMP0192","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","Midwest",2024-08-16,1.16,"1-2 years"
"EMP0193","Client Operations","Customer Support","Senior Professional","People Manager","On-site","Northeast",2007-09-10,18.1,"11 or more years"
"EMP0194","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Midwest",2017-10-04,8.03,"6-10 years"
"EMP0195","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","West",2008-06-28,17.3,"11 or more years"
"EMP0196","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","West",2022-10-22,2.98,"1-2 years"
"EMP0197","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Midwest",2024-06-13,1.34,"1-2 years"
"EMP0198","Client Operations","Customer Support","Senior Professional","People Manager","On-site","South",2016-05-22,9.4,"6-10 years"
"EMP0199","Client Operations","Customer Support","Professional","Individual Contributor","Remote","Northeast",2020-06-25,5.31,"3-5 years"
"EMP0200","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2017-11-05,7.94,"6-10 years"
"EMP0201","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","South",2022-01-13,3.75,"3-5 years"
"EMP0202","Client Operations","Customer Support","Manager","People Manager","On-site","Northeast",2007-04-08,18.52,"11 or more years"
"EMP0203","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","West",2018-06-29,7.3,"6-10 years"
"EMP0204","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2023-02-14,2.67,"1-2 years"
"EMP0205","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Midwest",2024-04-18,1.49,"1-2 years"
"EMP0206","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-05-09,0.44,"Less than 1 year"
"EMP0207","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2024-06-21,1.32,"1-2 years"
"EMP0208","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2020-09-29,5.04,"3-5 years"
"EMP0209","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2020-09-01,5.12,"3-5 years"
"EMP0210","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2020-11-27,4.88,"3-5 years"
"EMP0211","Client Operations","Customer Support","Professional","Individual Contributor","Remote","Midwest",2022-11-15,2.92,"1-2 years"
"EMP0212","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","West",2022-03-01,3.62,"3-5 years"
"EMP0213","Client Operations","Customer Support","Manager","People Manager","On-site","Midwest",2021-03-18,4.58,"3-5 years"
"EMP0214","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2017-03-22,8.57,"6-10 years"
"EMP0215","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","West",2022-06-19,3.32,"3-5 years"
"EMP0216","Client Operations","Customer Support","Manager","People Manager","On-site","Midwest",2016-06-18,9.33,"6-10 years"
"EMP0217","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2022-12-11,2.84,"1-2 years"
"EMP0218","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2023-02-25,2.64,"1-2 years"
"EMP0219","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","West",2025-03-24,0.56,"Less than 1 year"
"EMP0220","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2009-02-14,16.67,"11 or more years"
"EMP0221","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2020-05-14,5.42,"3-5 years"
"EMP0222","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","South",2013-06-25,12.31,"11 or more years"
"EMP0223","Client Operations","Customer Support","Professional","People Manager","On-site","Midwest",2015-07-23,10.23,"6-10 years"
"EMP0224","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2019-01-20,6.74,"6-10 years"
"EMP0225","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2020-10-16,5,"3-5 years"
"EMP0226","Client Operations","Customer Support","Manager","People Manager","Hybrid","West",2022-12-14,2.84,"1-2 years"
"EMP0227","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2023-11-25,1.89,"1-2 years"
"EMP0228","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2016-01-30,9.71,"6-10 years"
"EMP0229","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2018-10-23,6.98,"6-10 years"
"EMP0230","Client Operations","Customer Support","Professional","People Manager","Remote","West",2013-07-16,12.25,"11 or more years"
"EMP0231","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2017-12-11,7.84,"6-10 years"
"EMP0232","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2023-11-05,1.94,"1-2 years"
"EMP0233","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2024-02-01,1.7,"1-2 years"
"EMP0234","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2021-07-26,4.22,"3-5 years"
