"employee_id","business_unit","department","job_level","manager_status","work_arrangement","location_region","hire_date","tenure_years","tenure_group","employment_end_date","survey_wave","survey_date","eligible","invited","response_probability","responded"
"EMP0008","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-10-29,0.96,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,TRUE
"EMP0008","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-10-29,0.96,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE
"EMP0009","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2018-07-03,7.29,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0009","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2018-07-03,7.29,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0010","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-08-21,1.15,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,TRUE
"EMP0010","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-08-21,1.15,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,TRUE
"EMP0011","Client Operations","Customer Support","Director and Above","Individual Contributor","Hybrid","West",2006-06-01,19.37,"11 or more years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.57,FALSE
"EMP0011","Client Operations","Customer Support","Director and Above","Individual Contributor","Hybrid","West",2006-06-01,19.37,"11 or more years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.57,TRUE
"EMP0012","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2022-11-26,2.89,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,FALSE
"EMP0012","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2022-11-26,2.89,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,FALSE
"EMP0013","Client Operations","Customer Support","Manager","Individual Contributor","On-site","Northeast",2019-02-26,6.63,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0013","Client Operations","Customer Support","Manager","Individual Contributor","On-site","Northeast",2019-02-26,6.63,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0014","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2016-03-30,9.54,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0014","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2016-03-30,9.54,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0015","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Midwest",2019-11-07,5.94,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0015","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Midwest",2019-11-07,5.94,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0016","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-09-10,0.1,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0016","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-09-10,0.1,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE
"EMP0017","Client Operations","Customer Support","Manager","People Manager","On-site","Midwest",2020-12-12,4.84,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0017","Client Operations","Customer Support","Manager","People Manager","On-site","Midwest",2020-12-12,4.84,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0018","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2021-06-24,4.31,"3-5 years",2025-10-30,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0018","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2021-06-24,4.31,"3-5 years",2025-10-30,"Wave 2",2026-04-15,FALSE,FALSE,0.05,FALSE
"EMP0019","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Midwest",2024-04-26,1.47,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.58,FALSE
"EMP0019","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Midwest",2024-04-26,1.47,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.58,FALSE
"EMP0020","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2008-08-18,17.16,"11 or more years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.57,FALSE
"EMP0020","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2008-08-18,17.16,"11 or more years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.57,FALSE
"EMP0021","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-07-24,0.23,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0021","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-07-24,0.23,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,FALSE
"EMP0022","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","West",2015-03-05,10.61,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.6,FALSE
"EMP0022","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","West",2015-03-05,10.61,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.6,TRUE
"EMP0023","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2018-09-23,7.06,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0023","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2018-09-23,7.06,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0024","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2009-07-22,16.23,"11 or more years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.57,FALSE
"EMP0024","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2009-07-22,16.23,"11 or more years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.57,FALSE
"EMP0025","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","West",2018-06-24,7.31,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0025","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","West",2018-06-24,7.31,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0026","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2015-06-25,10.31,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0026","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2015-06-25,10.31,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0027","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-09-20,1.07,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,FALSE
"EMP0027","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-09-20,1.07,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,FALSE
"EMP0028","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2018-12-18,6.83,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0028","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2018-12-18,6.83,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0029","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2021-10-13,4.01,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0029","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2021-10-13,4.01,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0030","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2021-07-15,4.25,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0030","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2021-07-15,4.25,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0031","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2012-05-27,13.39,"11 or more years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.57,FALSE
"EMP0031","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2012-05-27,13.39,"11 or more years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.57,FALSE
"EMP0032","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2006-10-02,19.04,"11 or more years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.52,TRUE
"EMP0032","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2006-10-02,19.04,"11 or more years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.52,FALSE
"EMP0033","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2016-04-15,9.5,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0033","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2016-04-15,9.5,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0034","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2025-02-05,0.69,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0034","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2025-02-05,0.69,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE
"EMP0035","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2021-02-10,4.68,"3-5 years",2026-04-30,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0035","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2021-02-10,4.68,"3-5 years",2026-04-30,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0036","Client Operations","Customer Support","Senior Professional","People Manager","On-site","Northeast",2024-08-12,1.17,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,TRUE
"EMP0036","Client Operations","Customer Support","Senior Professional","People Manager","On-site","Northeast",2024-08-12,1.17,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,FALSE
"EMP0037","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-08-07,0.19,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0037","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-08-07,0.19,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE
"EMP0038","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2020-08-18,5.16,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.6,TRUE
"EMP0038","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2020-08-18,5.16,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.6,FALSE
"EMP0039","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","South",2023-08-25,2.14,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.56,TRUE
"EMP0039","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","South",2023-08-25,2.14,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.56,TRUE
"EMP0040","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2021-02-10,4.68,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0040","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2021-02-10,4.68,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0041","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2022-01-29,3.71,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0041","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2022-01-29,3.71,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0042","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2024-02-02,1.7,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.58,FALSE
"EMP0042","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2024-02-02,1.7,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.58,TRUE
"EMP0043","Client Operations","Customer Support","Professional","Individual Contributor","Remote","West",2023-06-27,2.3,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.56,FALSE
"EMP0043","Client Operations","Customer Support","Professional","Individual Contributor","Remote","West",2023-06-27,2.3,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.56,FALSE
"EMP0044","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2023-05-12,2.43,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,TRUE
"EMP0044","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2023-05-12,2.43,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,TRUE
"EMP0045","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","Midwest",2021-09-04,4.11,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.58,FALSE
"EMP0045","Client Operations","Customer Support","Senior Professional","Individual Contributor","Remote","Midwest",2021-09-04,4.11,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.58,TRUE
"EMP0046","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2021-08-23,4.15,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0046","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2021-08-23,4.15,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0047","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2022-03-23,3.56,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0047","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2022-03-23,3.56,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0048","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2023-07-23,2.23,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,TRUE
"EMP0048","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2023-07-23,2.23,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,FALSE
"EMP0049","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2021-12-05,3.86,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0049","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2021-12-05,3.86,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0050","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2025-07-21,0.24,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0050","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2025-07-21,0.24,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,FALSE
"EMP0051","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2022-01-21,3.73,"3-5 years",2026-05-10,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0051","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2022-01-21,3.73,"3-5 years",2026-05-10,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0052","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2022-10-29,2.96,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.58,FALSE
"EMP0052","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2022-10-29,2.96,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.58,FALSE
"EMP0053","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Northeast",2025-08-10,0.18,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.52,TRUE
"EMP0053","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Northeast",2025-08-10,0.18,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.52,FALSE
"EMP0054","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2020-10-06,5.02,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0054","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2020-10-06,5.02,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0055","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2017-08-28,8.13,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.6,TRUE
"EMP0055","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","South",2017-08-28,8.13,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.6,FALSE
"EMP0056","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2021-07-17,4.25,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.6,FALSE
"EMP0056","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2021-07-17,4.25,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.6,FALSE
"EMP0057","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2020-12-24,4.81,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0057","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2020-12-24,4.81,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0058","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-12-12,0.84,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0058","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-12-12,0.84,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE
"EMP0059","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2025-09-15,0.08,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.54,FALSE
"EMP0059","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2025-09-15,0.08,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.54,FALSE
"EMP0060","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2022-11-15,2.92,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,FALSE
"EMP0060","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2022-11-15,2.92,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,TRUE
"EMP0061","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2019-05-07,6.44,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0061","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2019-05-07,6.44,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0062","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2020-09-05,5.11,"3-5 years",2025-10-23,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0062","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2020-09-05,5.11,"3-5 years",2025-10-23,"Wave 2",2026-04-15,FALSE,FALSE,0.05,FALSE
"EMP0063","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2024-06-07,1.36,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,FALSE
"EMP0063","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2024-06-07,1.36,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,TRUE
"EMP0064","Client Operations","Customer Support","Professional","People Manager","On-site","Northeast",2020-01-23,5.73,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0064","Client Operations","Customer Support","Professional","People Manager","On-site","Northeast",2020-01-23,5.73,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0065","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2025-08-19,0.16,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,TRUE
"EMP0065","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2025-08-19,0.16,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,FALSE
"EMP0066","Client Operations","Customer Support","Manager","People Manager","Hybrid","Midwest",2024-09-27,1.05,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.58,TRUE
"EMP0066","Client Operations","Customer Support","Manager","People Manager","Hybrid","Midwest",2024-09-27,1.05,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.58,FALSE
"EMP0067","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2025-08-09,0.18,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0067","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2025-08-09,0.18,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE
"EMP0068","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Northeast",2025-04-29,0.46,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.52,FALSE
"EMP0068","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Northeast",2025-04-29,0.46,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.52,FALSE
"EMP0069","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-08-21,0.15,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0069","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-08-21,0.15,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE
"EMP0070","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Midwest",2024-02-27,1.63,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.56,FALSE
"EMP0070","Client Operations","Customer Support","Entry Level","Individual Contributor","Remote","Midwest",2024-02-27,1.63,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.56,TRUE
"EMP0071","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-04-22,0.48,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,TRUE
"EMP0071","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-04-22,0.48,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,FALSE
"EMP0072","Client Operations","Customer Support","Senior Professional","People Manager","Remote","South",2018-09-11,7.09,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.58,TRUE
"EMP0072","Client Operations","Customer Support","Senior Professional","People Manager","Remote","South",2018-09-11,7.09,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.58,TRUE
"EMP0073","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2018-12-18,6.83,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
